"FIPS","State","Area_Name","Rural.urban_Continuum.Code_2013","Urban_Influence_Code_2013","Economic_typology_2015","POP_ESTIMATE_2018","N_POP_CHG_2018","Births_2018","Deaths_2018","NATURAL_INC_2018","INTERNATIONAL_MIG_2018","DOMESTIC_MIG_2018","NET_MIG_2018","RESIDUAL_2018","GQ_ESTIMATES_2018","R_birth_2018","R_death_2018","R_NATURAL_INC_2018","R_INTERNATIONAL_MIG_2018","R_DOMESTIC_MIG_2018","R_NET_MIG_2018","Less.than.a.high.school.diploma.2014.18","High.school.diploma.only.2014.18","Some.college.or.associate.s.degree.2014.18","Bachelor.s.degree.or.higher.2014.18","Percent.of.adults.with.less.than.a.high.school.diploma.2014.18","Percent.of.adults.with.a.high.school.diploma.only.2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree.2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18","POVALL_2018","CI90LBAll_2018","CI90UBALL_2018","PCTPOVALL_2018","CI90LBALLP_2018","CI90UBALLP_2018","POV017_2018","CI90LB017_2018","CI90UB017_2018","PCTPOV017_2018","CI90LB017P_2018","CI90UB017P_2018","POV517_2018","CI90LB517_2018","CI90UB517_2018","PCTPOV517_2018","CI90LB517P_2018","CI90UB517P_2018","MEDHHINC_2018","CI90LBINC_2018","CI90UBINC_2018","Civilian_labor_force_2018","Employed_2018","Unemployed_2018","Unemployment_rate_2018","Median_Household_Income_2018","Med_HH_Income_Percent_of_State_Total_2018","Housing.units","Area.in.square.miles...Total.area","Area.in.square.miles...Water.area","Area.in.square.miles...Land.area","Density.per.square.mile.of.land.area...Population","Density.per.square.mile.of.land.area...Housing.units","Total_Male","Total_Female","Total_age0to17","Male_age0to17","Female_age0to17","Total_age18to64","Male_age18to64","Female_age18to64","Total_age65plus","Male_age65plus","Female_age65plus","Total_age85plusr","Male_age85plusr","Female_age85plusr","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE","Active.Physicians.per.100000.Population.2018..AAMC.","Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.","Active.Primary.Care.Physicians.per.100000.Population.2018..AAMC.","Active.Patient.Care.Primary.Care.Physicians.per.100000.Population.2018..AAMC.","Active.General.Surgeons.per.100000.Population.2018..AAMC.","Active.Patient.Care.General.Surgeons.per.100000.Population.2018..AAMC.","Fraction.of.Active.Physicians.Who.Are.Female.2018..AAMC.","Fraction.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs..2018..AAMC.","Fraction.of.Active.Physicians.Who.Are.Age.60.or.Older.2018..AAMC.","Total.Residents.Fellows.in.ACGME.Programs.per.100000.Population.as.of.December.31.2018..AAMC.","Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100000.Population.as.of.Dec..31.2018..AAMC.","Fraction.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31.2018..AAMC.","Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs.2008.2018..AAMC.","All.Specialties..AAMC.","Anatomic.Clinical.Pathology..AAMC.","Anesthesiology..AAMC.","Cardiovascular.Disease..AAMC.","Dermatology..AAMC.","Emergency.Medicine..AAMC.","Family.Medicine.General.Practice..AAMC.","Gastroenterology..AAMC.","General.Surgery..AAMC.","Hematology...Oncology..AAMC.","Internal.Medicine..AAMC.","Neurology..AAMC.","Obstetrics...Gynecology..AAMC.","Ophthalmology..AAMC.","Orthopedic.Surgery..AAMC.","Otolaryngology..AAMC.","Pediatrics....AAMC.","Psychiatry..AAMC.","Radiology...Diagnostic.Radiology..AAMC.","Urology..AAMC.","Total.nurse.practitioners..2019.","Total.physician.assistants..2019.","Total.Hospitals..2019.","Internal.Medicine.Primary.Care..2019.","Family.Medicine.General.Practice.Primary.Care..2019.","Pediatrics.Primary.Care..2019.","Obstetrics...Gynecology.Primary.Care..2019.","Total.Primary.Care.Physicians..2019.","Psychiatry.specialists..2019.","Surgery.specialists..2019.","Anesthesiology.specialists..2019.","Emergency.Medicine.specialists..2019.","Radiology.specialists..2019.","Cardiology.specialists..2019.","Oncology..Cancer..specialists..2019.","Endocrinology.Diabetes.and.Metabolism.specialists..2019.","All.Other.Specialties.specialists..2019.","Total.Specialist.Physicians..2019.","ICU.Beds","crime_rate_per_100000","COUNTY.POPULATION.AGENCIES.REPORT.ARRESTS","COUNTY.POPULATION.AGENCIES.REPORT.CRIMES","NUMBER.OF.AGENCIES.IN.COUNTY.REPORT.ARRESTS","NUMBER.OF.AGENCIES.IN.COUNTY.REPORT.CRIMES","COVERAGE.INDICATOR","Total.number.of.UCR..Uniform.Crime.Report..Index.crimes.excluding.arson.","Total.number.of.UCR..Uniform.Crime.Report..index.crimes.reported.including.arson","MURDER","RAPE","ROBBERY","Number.of.AGGRAVATED.ASSAULTS","BURGLRY","LARCENY","MOTOR.VEHICLE.THEFTS","ARSON","deaths"
1001,"AL","Autauga County",2,2,0,55601,158,655,532,123,-2,37,35,0,455,11.8,9.6,2.2,0,0.7,0.6,4204,12119,10552,10291,11.3,32.6,28.4,27.7,7587,6334,8840,13.8,11.5,16.1,2509,1965,3053,19.3,15.1,23.5,1891,1469,2313,19.5,15.1,23.9,59338,53628,65048,25957,25015,942,3.6,59338,119,22135,604.39,9.95,594.44,91.8,37.2,26995,28606,13163,6726,6437,33785,16482,17303,8653,3787,4866,871,329,542,26995,28606,20859,21801,5153,5762,121,146,301,380,33,29,528,488,21334,22246,5442,6021,277,294,453,509,58,59,26135,27817,20157,21159,5074,5681,105,138,297,373,20,23,482,443,20596,21566,5334,5919,241,261,434,492,36,47,860,789,702,642,79,81,16,8,4,7,13,6,46,45,738,680,108,102,36,33,19,17,22,12,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,120.7374364,1.615292629,5.426018199,3.321587661,1.512914928,4.561495383,17.95022373,2.070304638,4.231611677,1.785922133,15.59553658,2.013428137,6.04028441,2.411563644,3.31021236,1.945176335,8.053712547,3.617345466,3.992730373,1.683544431,28.85913663,6.085785611,1.148905321,25.99256097,21.24906079,11.71655921,7.632826439,66.69338512,5.755901905,8.576976356,6.847930725,5.289514596,7.66695234,4.663873085,2.74144735,0.807646315,29.79191124,72.14215392,6,2516019259,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,31
1003,"AL","Baldwin County",3,2,5,218022,5403,2254,2228,26,118,5232,5350,27,2190,10.5,10.3,0.1,0.5,24.3,24.8,14310,40579,46025,46075,9.7,27.6,31.3,31.3,21069,17390,24748,9.8,8.1,11.5,6442,4723,8161,13.9,10.2,17.6,4534,3223,5845,13.1,9.3,16.9,57588,54437,60739,93849,90456,3393,3.6,57588,115.5,104061,2027.31,437.53,1589.78,114.6,65.5,105657,112365,47110,23810,23300,126341,61166,65175,44571,20681,23890,4304,1755,2549,105657,112365,92471,97830,9400,10092,886,798,933,1575,73,73,1894,1997,94249,99703,10187,10936,1768,1707,1374,2030,176,178,100355,107536,87729,93472,9233,9918,746,715,912,1561,49,62,1686,1808,89325,95187,9928,10683,1509,1515,1305,1973,120,144,5302,4829,4742,4358,167,174,140,83,21,14,24,11,208,189,4924,4516,259,253,259,192,69,57,56,34,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,473.4342433,6.333866831,21.27643999,13.02457123,5.932424567,17.88648309,70.38621027,8.11805467,16.59294691,7.002937271,61.1530382,7.89503119,23.68509357,9.45619555,12.97996653,7.627403015,31.58012476,14.18429333,15.65624829,6.601495007,113.1621137,23.86351236,4.505074295,101.9217303,83.32157211,45.94283687,29.92975101,261.5173326,22.56997617,33.63194078,26.85202699,20.74118364,30.0635651,18.28792536,10.74973173,3.166933415,116.8196988,282.882982,51,228086325,187467,187467,14,14,100,446,4988,8,30,76,332,967,3829,192,31,52
1005,"AL","Barbour County",6,6,3,24881,-277,261,324,-63,12,-227,-215,1,2820,10.4,12.9,-2.5,0.5,-9.1,-8.6,4901,6486,4566,2220,27,35.7,25.1,12.2,6788,5662,7914,30.9,25.8,36,2242,1788,2696,43.9,35,52.8,1411,1056,1766,36.7,27.5,45.9,34382,31157,37607,8373,7940,433,5.2,34382,68.9,11829,904.52,19.64,884.88,31,13.4,13133,11748,5192,2630,2562,14857,8414,6443,4832,2089,2743,472,148,324,13133,11748,6410,5799,6370,5672,97,67,52,61,30,16,174,133,6535,5914,6498,5766,175,113,73,78,34,19,12549,11268,5950,5406,6326,5625,46,39,52,61,19,8,156,129,6063,5518,6440,5717,113,82,72,78,23,11,584,480,460,393,44,47,51,28,0,0,11,8,18,4,472,396,58,49,62,31,1,0,11,8,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,54.02903104,0.722830451,2.428099473,1.486383745,0.677017254,2.041232471,8.032580647,0.926444663,1.893612168,0.79918578,6.978877102,0.900992886,2.702978659,1.079155321,1.481293389,0.870450755,3.603971545,1.618732982,1.786714707,0.753372583,12.91423137,2.72334008,0.514125884,11.63146184,9.508783681,5.243065948,3.415628399,29.84475306,2.575719777,3.838127888,3.064393884,2.36701521,3.430899465,2.087045669,1.226775625,0.361415226,13.3316405,32.28303325,5,1772787709,27228,25566,6,4,970.113,48,474,0,4,8,36,90,362,21,0,0
1007,"AL","Bibb County",1,1,0,22400,-155,250,256,-6,10,-158,-148,-1,2151,11.1,11.4,-0.3,0.4,-7,-6.6,2650,7471,3846,1813,16.8,47.3,24.4,11.5,4400,3445,5355,21.8,17.1,26.5,1238,923,1553,27.8,20.7,34.9,840,606,1074,26.3,19,33.6,46064,41283,50845,8661,8317,344,4,46064,92.3,8981,626.17,3.59,622.58,36.8,14.4,11921,10479,4587,2399,2188,14123,7895,6228,3690,1627,2063,363,108,255,11921,10479,8762,8449,2954,1816,48,50,19,34,22,4,116,126,8865,8565,3018,1888,96,105,38,47,30,9,11586,10226,8481,8227,2928,1803,45,41,18,34,5,1,109,120,8579,8337,2987,1872,89,91,37,47,12,6,335,253,281,222,26,13,3,9,1,0,17,3,7,6,286,228,31,16,7,14,1,0,18,3,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,48.64154557,0.650753672,2.185982404,1.338169522,0.609508721,1.837691707,7.231614746,0.834064565,1.704791309,0.719495257,6.282980872,0.811150703,2.43345211,0.971547735,1.33358675,0.783654069,3.244602814,1.457321603,1.60855309,0.678250306,11.62649342,2.4517832,0.462860006,10.47163479,8.560618723,4.720255506,3.075040237,26.86879421,2.318882802,3.455410341,2.758828946,2.130989136,3.088788554,1.878936658,1.104448133,0.325376836,12.00228075,29.06394215,0,2176616915,22907,22857,5,6,944.853,49,399,1,4,8,36,122,251,27,0,0
1009,"AL","Blount County",1,1,0,57840,13,681,662,19,8,-10,-2,-4,489,11.8,11.4,0.3,0.1,-0.2,0,7861,13489,13267,5010,19.8,34,33.5,12.6,7527,6045,9009,13.2,10.6,15.8,2374,1784,2964,18,13.5,22.5,1520,1053,1987,15.5,10.7,20.3,50412,46157,54667,25006,24128,878,3.5,50412,101.1,23887,650.63,5.85,644.78,88.9,37,28500,29340,13392,6707,6685,33900,17042,16858,10548,4751,5797,1032,371,661,28500,29340,27307,28149,507,443,195,183,82,103,44,26,365,436,27648,28563,646,605,386,419,144,169,54,39,25561,26743,24548,25707,445,401,149,149,70,91,14,7,335,388,24860,26081,567,546,328,354,128,152,22,16,2939,2597,2759,2442,62,42,46,34,12,12,30,19,30,48,2788,2482,79,59,58,65,16,17,32,23,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,125.5994195,1.680338945,5.644518851,3.455344873,1.573838589,4.745182514,18.67306236,2.153673859,4.402014701,1.857839538,16.22355418,2.094506995,6.283520985,2.508675045,3.4435115,2.023506758,8.37802798,3.763012567,4.153513871,1.751339182,30.02126693,6.330854476,1.195170658,27.03925697,22.10474049,12.18837404,7.940193184,69.37906504,5.987686664,8.922363131,7.123690457,5.502518377,7.975693303,4.85168287,2.851842858,0.840169473,30.9916035,75.04725063,6,2108100636,57909,57909,6,6,986.338,122,1347,1,11,9,101,397,865,86,9,0
1011,"AL","Bullock County",6,6,3,10138,-38,115,120,-5,-2,-30,-32,-1,1661,11.3,11.8,-0.5,-0.2,-3,-3.2,1760,2817,1582,945,24.8,39.7,22.3,13.3,3610,2966,4254,42.5,34.9,50.1,1433,1207,1659,68.3,57.5,79.1,1005,828,1182,66.5,54.8,78.2,29267,26064,32470,4776,4552,224,4.7,29267,58.7,4493,625.14,2.34,622.8,17.5,7.2,5527,4611,2137,1094,1043,6340,3717,2623,1661,716,945,184,53,131,5527,4611,1615,1046,3749,3419,40,45,7,12,40,36,76,53,1680,1093,3791,3448,73,62,18,23,44,43,5103,4228,1358,793,3676,3374,8,16,6,7,3,2,52,36,1403,826,3704,3394,30,26,13,13,5,6,424,383,257,253,73,45,32,29,1,5,37,34,24,17,277,267,87,54,43,36,5,10,39,37,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,22.01464237,0.294524139,0.989352215,0.605641188,0.275857117,0.831719577,3.272951352,0.377488686,0.771570281,0.325635844,2.843609825,0.367118117,1.101354352,0.439712096,0.603567074,0.354673436,1.46847247,0.659568143,0.728013894,0.306968821,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,2.136337068,1.391730265,12.16052838,1.049501511,1.563881698,1.248616422,0.964462851,1.397952606,0.8503866,0.499861392,0.14726207,5.43210367,13.15402882,0,5263652599,10584,10584,2,2,575.822,56,156,0,2,12,43,98,55,3,23,0
1013,"AL","Butler County",6,6,0,19680,-218,221,239,-18,17,-217,-200,0,333,11.2,12.1,-0.9,0.9,-11,-10.1,2141,6091,3421,2235,15.4,43.9,24.6,16.1,4731,3804,5658,24.5,19.7,29.3,1566,1170,1962,36.3,27.1,45.5,1131,831,1431,35.3,25.9,44.7,37365,34051,40679,8914,8487,427,4.8,37365,74.9,9964,777.88,1.05,776.83,27,12.8,9165,10515,4378,2319,2059,11307,5212,6095,3995,1634,2361,585,137,448,9165,10515,4899,5384,3962,4877,38,36,160,99,5,5,101,114,4988,5493,4024,4941,76,67,172,122,9,15,9009,10374,4800,5287,3925,4844,36,33,154,96,4,5,90,109,4879,5392,3979,4904,69,63,166,119,8,14,156,141,99,97,37,33,2,3,6,3,1,0,11,5,109,101,45,37,7,4,6,3,1,1,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,42.73507218,0.571733583,1.920541684,1.175677509,0.535496947,1.614543428,6.353490098,0.732785297,1.497780936,0.632127976,5.520047481,0.712653832,2.137961497,0.853574082,1.171651216,0.688496075,2.850615329,1.280361122,1.413228786,0.59589134,10.21470493,2.154066668,0.406655577,9.200079135,7.521115021,4.147081623,2.701642494,23.60615491,2.037304176,3.0358248,2.423828288,1.87222617,2.713721373,1.650780064,0.970336574,0.285866791,10.54486094,25.53474918,7,5378731804,20741,20733,4,4,976.483,109,621,6,5,11,87,182,408,30,3,2
1015,"AL","Calhoun County",3,2,4,114277,-387,1293,1494,-201,71,-253,-182,-4,2739,11.3,13.1,-1.8,0.6,-2.2,-1.6,12620,25653,26643,14219,15.9,32.4,33.7,18,21719,18807,24631,19.5,16.9,22.1,6397,5152,7642,26.5,21.3,31.7,4265,3314,5216,24.1,18.7,29.5,45400,41668,49132,45972,43833,2139,4.7,45400,91,53289,612.29,6.42,605.87,195.7,88,54914,59363,24695,12598,12097,69335,33731,35604,20247,8585,11662,2111,631,1480,54914,59363,41758,44268,11230,12923,317,300,435,667,62,64,1112,1141,42776,45316,11842,13560,701,702,681,931,137,144,52602,57206,39847,42461,11050,12777,243,225,417,648,51,52,994,1043,40765,43428,11596,13360,580,580,632,886,110,118,2312,2157,1911,1807,180,146,74,75,18,19,11,12,118,98,2011,1888,246,200,121,122,49,45,27,26,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,248.1522278,3.319918631,11.15212104,6.826874932,3.109501253,9.375263177,36.89318028,4.255106978,8.697251626,3.670614261,32.05358059,4.138208435,12.4146253,4.956498238,6.803495223,3.997930183,16.55283374,7.434747357,8.206277743,3.460196883,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,24.08109993,15.68778452,137.0752319,11.83013259,17.62830034,14.07458462,10.87156453,15.75792364,9.585680555,5.63450979,1.659959316,61.23145701,148.2741124,24,5807976974,122213,118270,8,10,995.075,678,5339,6,37,131,504,1710,3482,147,34,30
1017,"AL","Chambers County",6,5,0,33615,-143,357,461,-104,20,-58,-38,-1,458,10.6,13.7,-3.1,0.6,-1.7,-1.1,4383,9060,7003,3118,18.6,38.4,29.7,13.2,6181,4799,7563,18.7,14.5,22.9,2103,1524,2682,30.7,22.2,39.2,1506,1049,1963,30.3,21.1,39.5,39917,36435,43399,15276,14679,597,3.9,39917,80,17004,603.11,6.58,596.53,57.4,28.5,16093,17522,6992,3572,3420,20061,9733,10328,6562,2788,3774,749,198,551,16093,17522,9291,9891,6253,7193,55,48,279,167,10,5,205,218,9477,10096,6379,7332,134,110,299,197,16,18,15617,17137,8973,9593,6158,7142,37,41,264,162,4,4,181,195,9136,9778,6268,7269,110,91,282,189,8,13,476,385,318,298,95,51,18,7,15,5,6,1,24,23,341,318,111,63,24,19,17,8,8,5,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,72.99489082,0.97656628,3.280437434,2.008150379,0.914671234,2.757768157,10.85226472,1.251655373,2.558328565,1.07972469,9.428678662,1.217269236,3.651807709,1.457972193,2.001273151,1.176005872,4.869076946,2.186958289,2.413906791,1.017829644,17.44752572,3.679316619,0.69459996,15.71446444,12.84666064,7.083544144,4.614619535,40.3211838,3.479877026,5.185429403,4.140090849,3.197910706,4.635251217,2.819663203,1.657411785,0.48828314,18.01145836,43.61537569,0,5620279843,34075,34075,4,4,100,192,1345,1,7,24,160,374,875,96,5,295
1019,"AL","Cherokee County",6,6,0,26032,217,219,340,-121,-1,338,337,1,290,8.4,13.1,-4.7,0,13,13,3692,7157,5417,2407,19.8,38.3,29,12.9,4180,3215,5145,16.3,12.5,20.1,1215,856,1574,24.7,17.4,32,830,554,1106,22.2,14.8,29.6,42132,37915,46349,11622,11207,415,3.6,42132,84.5,16267,599.98,46.28,553.7,46.9,29.4,12896,13136,4990,2533,2457,15062,7574,7488,5980,2789,3191,536,184,352,12896,13136,11983,12234,572,537,89,83,33,55,5,3,214,224,12184,12445,660,632,211,198,51,86,13,9,12671,12939,11792,12068,571,533,77,71,32,50,1,0,198,217,11978,12275,652,624,189,180,48,79,7,6,225,197,191,166,1,4,12,12,1,5,4,3,16,7,206,170,8,8,22,18,3,7,6,3,217.1,196.7,77.2,71.2,7.6,6.9,0.285,0.181,0.344,29.9,11.9,0.219,0.184,56.52842475,0.756268731,2.540423837,1.555144152,0.708336206,2.135660291,8.404169423,0.969302177,1.981211043,0.836156273,7.301721342,0.942672996,2.828018988,1.129077261,1.549818316,0.910717979,3.770691984,1.693615891,1.869368484,0.788223748,13.51164628,2.849322333,0.53790945,12.16953557,9.948661902,5.48561122,3.573636047,31.22537727,2.694873085,4.015680447,3.206153354,2.476513803,3.589613556,2.183592816,1.283526509,0.378134366,13.94836484,33.77645277,0,4159829027,26141,26162,4,5,100,109,1014,1,4,2,102,329,610,75,12,0
